Total_Stops,Price,year,month,Day,Duration(sec),Airline_Air Asia,Airline_Air India,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_SpiceJet,Airline_Vistara,Source_Banglore,Destination_New Delhi,Additional_Info_1 Long layover,Additional_Info_Business class,Additional_Info_No info,Additional_Info_Red-eye flight,flight_time_afternoon,flight_time_evening,flight_time_mid_night,flight_time_morning
2,17135,2019,1,3,140700,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,14594,2019,1,3,75900,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
1,22270,2019,1,3,63300,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
1,26890,2019,1,3,79500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,12649,2019,1,3,10500,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,22270,2019,1,3,29400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
1,57209,2019,1,3,16800,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1
1,9694,2019,1,3,17700,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0
1,12599,2019,1,3,84300,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
1,13439,2019,1,3,79800,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,26890,2019,1,3,53100,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
1,11003,2019,1,3,44700,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
0,11934,2019,1,3,10500,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1
2,11213,2019,1,3,39300,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,22270,2019,1,3,62700,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
1,25735,2019,1,3,63000,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
1,11528,2019,1,3,89400,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
0,15676,2019,1,3,9900,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,22270,2019,1,3,72000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
2,20999,2019,1,3,102300,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
1,26890,2019,1,3,33000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,10873,2019,1,3,9900,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,25735,2019,1,3,85500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
1,13439,2019,1,3,98700,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
1,7744,2019,1,3,29100,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0
1,35185,2019,1,3,21900,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,25735,2019,1,3,81000,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0
1,27992,2019,1,3,52500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0
1,26890,2019,1,3,22800,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
0,21730,2019,1,3,9600,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0
